length_miles,road_name
0.0311,WISTERIA AVENUE
0.1713,DWIGHT WAY
0.1126,ROBIN STREET
0.0513,DOLOMITE DRIVE
0.0831,SNYDER ROAD
0.0164,SAN LAGO COURT
0.0515,COTTONWOOD DRIVE
0.0492,HILLSIDE DRIVE
0.0415,FOURTH STREET
0.0712,GREGG STREET
0.0274,MAGNOLIA WAY
0.1758,EAST 16TH STREET
0.0039,ATWATER BOULEVARD
0.0852,SAN JOAQUIN DRIVE
0.076,ECHO AVENUE
0.9696,ARROYA AVENUE
0.0345,MIRAMONTE DRIVE
0.251,SHAFFER ROAD
0.0491,GILMORE DRIVE
0.0492,VINE STREET
0.2309,FRANKLIN ROAD
0.0801,LOUGHBOROUGH DRIVE
0.1438,LANDER AVENUE
0.0627,WEXFORD LANE
0.1779,MISTY HARBOUR DRIVE
0.0601,PORTICO DRIVE
0.0685,C STREET
0.0677,LOPES AVENUE
0.1005,SOUTH HIGHWAY 59
0.9086,SOUTH HIGHWAY 99
0.0569,HIGH STREET
0.0772,EL RODEBAUGH WAY
0.8464,GOLDEN STATE BOULEVARD
0.0551,EAST HOLLY AVENUE
0.3069,SANTA FE GRADE
0.0492,GAGE STREET
0.1279,HINTON AVENUE
0.2747,I-5 ON RAMP
0.4997,SOUTH ARBOLEDA DRIVE
0.5021,SOUTH TOWER ROAD
0.0501,GIANONNI COURT
0.1342,ENTERPRISE COURT
0.0897,TEXAS AVENUE
0.0555,EAST MANZANITA DRIVE
0.1128,LOUGHBOROUGH DRIVE
0.1457,VALERIA STREET
0.0349,LUIS AVENUE
0.0345,FORECAST DRIVE
0.5898,AMSTERDAM ROAD
0.0347,EL PORTAL DRIVE
0.4245,BIRD STREET
0.0331,HEIGHTS AVENUE
0.091,WEST 20TH STREET
0.4862,LONGVIEW AVENUE
0.3795,OLIVE AVENUE
0.0561,SUMMERFIELD DRIVE
0.0756,N STREET
0.0952,SPRIG WAY
0.1032,LA MESA COURT
0.1951,WARD ROAD
0.0761,EAST MISSION AVENUE
0.0502,DAVIS DRIVE
0.2576,NEVADA STREET
0.1496,OVERLAND AVENUE
0.0616,REECE WADE DRIVE
0.1275,GRIFFIN STREET
0.0772,CHERUB LANE
0.1686,CORONADO AVENUE
0.077,1ST AVENUE
0.0504,GRANADA COURT
1.0016,BRADBURY ROAD
0.0656,SANTA CRUZ WAY
0.1517,SAN AUGUSTINE AVENUE
0.0316,ELM AVENUE
0.0477,BEVERLY COURT
0.5741,HIGHWAY 99
0.0779,COMMUNITY COLLEGE SOUTH DRIVE
0.4985,WEST HIGHWAY 152
0.1136,DELHI AVENUE
0.3049,HIGHWAY 99
0.198,NOAH DRIVE
0.0516,THIRD STREET
1.0023,ORTIGALITA ROAD
0.126,CORMORANT DRIVE
0.1579,EAST CHILDS ON RAMP
0.0913,WEST MAIN STREET
0.0092,BOMBER DRIVE
0.0902,WEST 15TH STREET
0.0209,LEXINGTON AVENUE
0.1965,SCHENDEL AVENUE
0.0811,LUCERNE AVENUE
0.068,ACACIA STREET
0.1162,BLUFF DRIVE
0.0669,WEST CHILDS AVENUE
0.4304,OAKDALE ROAD
0.0544,ERIN DRIVE
0.0789,STONEWOOD DRIVE
0.1268,WEST AVENUE
2.2545,I-5
0.0926,CARMEL COURT
0.1888,FRANK AVENUE
0.0883,OCCIDENTAL COURT
0.0908,WEST 13TH STREET
0.0247,R STREET
0.1255,VERA CRUZ DRIVE
0.0136,MORAGA AVENUE
0.3333,HIGHWAY 99 OFF RAMP
0.0662,CASTELLANA STREET
0.0508,CITATION STREET
0.0701,AVE KEELY AVENUE NORTH
0.0644,DAVIS COURT
0.089,ANNAPOLIS COURT
0.5356,MILES ROAD
0.0724,APRON AVENUE
0.4956,BUHACH ROAD
0.076,SEVENTH STREET
0.0531,OAKWOOD COURT
0.5017,HYDE STREET
0.0765,8TH STREET
0.0479,BUENA VISTA DRIVE
0.5104,FENTEM ROAD
0.1628,CINDY DRIVE
0.1042,QUESADA DRIVE
0.0255,LUIS COURT
0.0595,MERCED AVENUE
0.0563,MADISON AVENUE
0.0629,ARBURUA ROAD
0.0757,FIFTH STREET
0.2411,HENRY MILLER AVENUE
0.0705,SOQUEL AVENUE
0.0319,STARLIGHT AVENUE
0.0282,DEL RIO DRIVE
1.5031,WEST LINCOLN ROAD
0.0447,LE GRAND ROAD
0.1151,MATTHEW DRIVE
0.1735,SOUTH HIGHWAY 59
0.5001,ORTIGALITA ROAD
0.0554,FIFTH STREET
0.0814,ELLISON PLACE
0.1422,RANCHERS ROAD
0.0366,LIMESTONE COURT
1.2561,HEARST ROAD
0.1418,TANKER COURT
1.8203,PRIVATE ROAD
0.1307,DARLINGTON STREET
0.1352,COLUMBIA AVENUE
0.0433,STONEWOOD DRIVE
0.2587,CAMELLIA DRIVE
0.0758,V STREET
0.1714,LAUREL AVENUE
0.0484,MERCED AVENUE
0.1131,ADAMS AVENUE
0.0772,W STREET
0.0726,THIRD STREET
0.0511,DANCO AVENUE
0.1245,FRUITLAND AVENUE
0.0696,DRIFTWOOD AVENUE
0.1502,SHAVER LAKE ROAD
0.0329,WINTON WAY
0.0765,R STREET
0.0361,CALERO COURT
0.0726,MAN-O-WAR COURT
0.0665,DOCK AVENUE
0.1328,EAST 27TH STREET
0.0919,H STREET
0.066,LOMBARDY AVENUE
0.089,N STREET
0.0705,EAST BROADWAY AVENUE
0.6574,HENRY MILLER AVENUE
0.1321,CRIST AVENUE
0.0304,AUBURN COURT
0.2008,EAST YOSEMITE AVENUE
0.5061,FRANKLIN ROAD
0.156,CHESTNUT LANE
0.0578,SOLSTICE AVENUE
0.0544,JOERG AVENUE
0.0605,F STREET
0.05,C STREET
0.0534,WEST AVENUE
1.8894,WEST HIGHWAY 152
0.0903,CARDOZA ROAD
0.0761,O STREET
0.0203,WILLOWBROOK DRIVE
0.361,MORAN AVENUE
0.0549,WASHINGTON AVENUE
0.0736,ORCHARD LANE
0.0494,ELMWOOD DRIVE
0.1806,SANTA FE DRIVE
0.1452,STORY AVENUE
0.0761,G STREET
0.1133,WEST HIGHWAY 152 ON RAMP
0.0559,FRUITLAND AVENUE
0.0025,FLEMING ROAD
0.0902,O STREET
0.0994,D STREET
0.144,BLAINE COURT
0.1146,CENTER STREET
0.0741,TRINITY COURT
0.0284,PATRIOTIC DRIVE
0.1345,WINTON WAY
0.0978,CHAMBERLAIN AVENUE
0.0144,EAST AVENUE
0.165,EAST 16TH ST ON RAMP
0.0488,ST ANDREWS DRIVE
0.0404,EL REDONDO DRIVE
0.0476,DRIFTWOOD AVENUE
0.064,SUMMERFIELD DRIVE
0.1658,TANNER ROAD
0.0938,MARYLAND AVENUE
0.0655,SOUTH SEVENTH STREET
0.1012,ALMOND AVENUE
0.0319,ALDRICH COURT
0.479,HOWARD ROAD
0.0505,LEON COURT
0.3256,GILBERT GONZALEZ JR DRIVE
0.2861,PALM AVENUE
0.1279,FREESTONE DRIVE
0.1068,WOODBURY COURT
0.5851,WEST HIGHWAY 152
0.5059,HUTCHINS ROAD
0.0528,JOERG AVENUE
0.1251,FRONTAGE ROAD
0.6419,TURNER AVENUE
0.0327,EAST SANTA FE AVENUE
0.2116,CASTLE DEL MAR AVENUE
0.2373,REDWING DRIVE
0.1786,ADAMS AVENUE
1.559,VISTA AVENUE
0.0614,STEELE AVENUE
0.5137,NORTH BERT CRANE ROAD
0.1476,FRANKLIN ROAD
0.2503,LOMBARDY AVENUE
0.2849,HIGHWAY 99 OFF RAMP
0.0912,WEST 19TH STREET
0.1321,DE SOTO WAY
0.0123,YOSEMITE PARKWAY
0.3449,NORTH HIGHWAY 99
0.091,WEST 20TH STREET
0.0724,NORTH STREET
0.1341,F STREET
0.0421,WEST NORTH BEAR CREEK DRIVE
0.0628,GEORGE STREET
0.1572,NORTH SANTA VENETIA STREET
0.0487,SANDY LANE
0.0472,MARIE COURT
1.5074,NEWPORT ROAD
0.0197,MACHADO STREET
0.0477,TIPTON DRIVE
0.0924,EAST 16TH STREET
0.0293,F STREET
0.0897,ANSEL ADAMS ROAD
0.0469,SOWELL STREET
0.0532,FAIRVIEW AVENUE
0.9522,PALM STREET
0.3282,HIGHWAY 99 OFF RAMP
0.0508,EAST B STREET
0.0644,UNIVERSITY DRIVE
0.4985,FIELDS ROAD
0.0318,PIEDMONT DRIVE
0.1126,R STREET
0.5033,EAST JEFFERSON ROAD
0.0412,H STREET
0.0809,VALLEY STREET
0.0913,EAST CONE AVENUE
0.2565,YOSEMITE AVENUE
0.1069,FRUITLAND AVENUE
0.0734,LINDEN STREET
0.0561,BROOKDALE DRIVE
0.0881,GOLDEN OAK LANE
0.0576,SAN LUIS STREET
0.0511,SUNDANCE DRIVE
0.0646,THIRD STREET
0.027,MARINA COURT
0.0386,MOFFITT COURT
0.0943,DAKOTA STREET
0.0484,EAST MANZANITA DRIVE
0.3087,MORAN AVENUE
0.0548,SIERRA MADRE DRIVE
0.0185,EAST CHILDS ON RAMP
0.057,SANTA ANA STREET
0.0229,PECOS COURT
0.0821,WOODBRIDGE COURT
0.0493,MISTY HARBOUR DRIVE
0.0914,WEST 8TH STREET
0.0227,PARKWOOD DRIVE
0.0647,HIGH STREET
0.0493,REITZ STREET
0.0636,CONDOR DRIVE
0.0593,BALE MILL ROAD
0.1456,SISTERON COURT
0.0316,TRES LOGOS DRIVE
0.5323,BAXTERS AVENUE
0.0487,CAMEO WAY
1.5262,WEST HIGHWAY 152
0.0528,SPALDING AVENUE
0.0481,PARADISE AVENUE
0.0729,COLUMBIA AVENUE
0.0642,SANTA RITA AVENUE
0.032,LOUISE AVENUE
0.0326,NORTH BUHACH ROAD
0.0611,WEST NORTH BEAR CREEK DRIVE
0.1392,NORTH SANTA ANA STREET
2.268,I-5
0.7963,MONTGOMERY STREET
0.0831,MANZANITA DRIVE
0.0267,APTOS COURT
0.6905,LEE ROAD
0.0993,PARADISE LANE
0.036,N STREET
2.2908,MALLARD ROAD
0.2235,FOURTH STREET
0.0724,BOATMAN AVENUE
0.0299,NORTH SECOND STREET
0.05,COBBLEFIELD LANE
0.5134,SECOND AVENUE
0.0668,B & B BOULEVARD
0.2493,DWIGHT WAY
0.3028,SOUTH HIGHWAY 99
0.061,DAVIS STREET
0.1254,8TH STREET
0.109,STARWAY AVENUE
0.2435,EAST HIGHWAY 140
0.0405,COLONY PARK DRIVE
0.0485,MURIETTA AVENUE
0.0463,PEAR COURT
0.0686,WAKAMI DRIVE
0.0938,WEST 13TH STREET
0.0576,EAST CLINTON AVENUE
3.1042,LE GRAND ROAD
0.6111,MISSION AVENUE
0.0312,FAIRMONT DRIVE
0.1182,F STREET
0.0829,M STREET
0.5058,SHULTZ ROAD
0.1148,BROOKDALE DRIVE
0.1768,COLLINS DRIVE
0.0494,VINTNER STREET
0.0593,CAROLYN DRIVE
0.2032,WEST NORTH BEAR CREEK DRIVE
0.0042,NORTH LINCOLN BOULEVARD
0.2536,VINCENT ROAD
0.1089,SNOW GOOSE DRIVE
0.0431,BELL DRIVE
0.075,V STREET
0.0914,WEST 13TH STREET
0.0386,MUIR STREET
0.0926,WEST 9TH STREET
0.1033,RANCHO DEL REY DRIVE
0.077,GATEWAY DRIVE
0.1355,SOUTH ROCK CREEK DRIVE
0.0273,MYRTLE AVENUE
0.4962,CROWN ROAD
0.1813,ATHLONE ROAD
0.0145,CAPILANO COURT
0.06,CROWELL STREET
0.0588,EGRET LANE
0.0411,EAST GERARD AVENUE
0.0576,EAST 27TH STREET
0.135,BUHACH ROAD
0.0735,DENNIS COURT
0.0765,V STREET
0.042,SOUTH G STREET
0.0763,N STREET
0.0484,LOUGHBOROUGH DRIVE
0.4062,HIGHWAY 99 OFF RAMP
0.9936,GILLETTE ROAD
0.0751,5TH AVENUE
0.0736,SOUTH M STREET
0.0606,C STREET
0.031,WAINWRIGHT AVENUE
0.0884,NICKLAUS COURT
0.0367,SCRIPPS DRIVE
0.0232,MARINER COURT
0.1007,LETTEAU AVENUE
0.1138,HERROD AVENUE
0.0914,WEST 27TH STREET
0.0866,BRIMMER ROAD
0.1398,STATION AVENUE
0.0332,HEIGHTS AVENUE
0.0773,CARMELA COURT
0.1294,ATLANTIC STREET
0.0479,SANTA NELLA COURT
0.02,VOLTA ROAD
0.4098,FAY ROAD
0.0547,LANDER AVENUE
0.0633,PEBBLE BEACH DRIVE
0.2663,POLE LINE ROAD
0.0513,PITZER WAY
0.0765,LA QUINTA COURT
0.1038,FRANKLIN ROAD
0.5009,TURNER AVENUE
0.0613,OLIVEWOOD DRIVE
0.0821,PORTOFINO COURT
0.1331,THOMAS STREET
0.1076,SOUTH NANTES AVENUE
0.0755,K STREET
0.9968,CENTER AVENUE
0.0474,CHARDONNAY WAY
0.1136,COPPOLA COURT
0.0405,YOSEMITE PARKWAY
0.0496,CEDAR CREST DRIVE
0.2613,LEAF DRIVE
0.1542,I-5 ON RAMP
0.0882,BRIMMER ROAD
1.006,NORTH ARBOLEDA DRIVE
0.0908,WEST MAIN STREET
0.7436,TEGNER ROAD
0.068,LIBERTY STREET
0.0612,WEST L STREET
0.0484,9TH STREET
0.0835,SOUTH WEST AVENUE
0.1231,ELGIN AVENUE
0.9984,NANTES AVENUE
0.121,QUEEN ELIZABETH DRIVE
0.0482,TOKAY CIRCLE
0.0362,ST PHILLIP COURT
0.0517,HEATHER CREEK DRIVE
0.6985,STEPHENS STREET
0.0601,SAN AUGUSTINE DRIVE
0.0554,QUEENS CIRCLE
0.0492,FAIRMONT DRIVE
0.117,UNIVERSITY DRIVE
0.5003,TURNER AVENUE
0.0924,SAN PABLO AVENUE
0.0491,AUTRY WAY
0.0147,EAST PERIMETER AVENUE
0.0535,LOUGHBOROUGH DRIVE
0.0744,DAFFODIL STREET
0.0391,MAYWEED DRIVE
0.0773,SHAFFER ROAD
0.2125,APPLEGATE ROAD
0.0803,MENLO DRIVE
0.1274,BRIDGEWATER STREET
0.1488,DIVISION STREET
0.1563,G STREET
0.203,SNOW GOOSE DRIVE
0.1275,JEAN STREET
0.044,GABRIEL DRIVE
0.4965,ROSE AVENUE
0.1267,SEPULVEDA AVENUE
0.1916,ARIZONA AVENUE
0.129,BROOKSIDE DRIVE
0.0619,LEONARD AVENUE
0.2407,NELANDER AVENUE
0.0352,LOMA VISTA COURT
0.054,WEST AVENUE
0.0605,ATWATER BOULEVARD
0.2528,DICKENSON FERRY ROAD
0.0538,PONDEROSA STREET
0.0511,MONT CLIFF WAY
0.1915,CALIFORNIA STREET
0.0892,GUMWOOD COURT
0.1953,CARMELLIA AVENUE
0.0275,COUNTY PARK
0.0512,AMBER LANE
0.0971,CEDAR LANE
0.0289,ARROYA ROAD
0.0958,I-5
0.0607,THIRD STREET
0.5017,FOURTH AVENUE
0.05,BUENA VISTA DRIVE
0.0113,V STREET
0.0841,EL PORTAL DRIVE
0.0478,MCPHERSON AVENUE
0.0705,TROVARE COURT
0.7733,EAST NORTH BEAR CREEK DRIVE
0.0502,DOS PALOS AVENUE
0.1193,PERCH LANE
0.2974,HIGHWAY 99
0.0526,DEVONWOOD DRIVE
0.0219,CABERNET STREET
0.0507,HUTCHINSON LANE
0.1275,SOUTH CENTER AVENUE
0.4996,EDMINISTER ROAD
0.0927,WEST 23RD STREET
1.7298,HOWARD ROAD
0.1121,ARBURUA ROAD
0.124,COLOMBARD WAY
0.0415,BUTTERNUT COURT
0.0427,SANTA FE DRIVE
0.0071,MULBERRY COURT
0.0898,E STREET
0.0343,D STREET
0.186,WEST 15TH STREET
0.0689,WEST I STREET
0.05,OSTRANDER COURT
0.0651,PARTRIDGE DRIVE
0.0349,SMITHLIN STREET
0.0885,KIWI STREET
0.0604,WILBUR WAY
0.0737,THIRD STREET
0.2865,ORTIGALITA ROAD
0.0331,SIXTH STREET
0.0866,CLAUDIA COURT
0.0246,EDNA DRIVE
0.0921,EAST BROADWAY AVENUE
0.0352,PONDEROSA STREET
0.0706,UNNAMED
0.0629,LAS PALMAS STREET
0.0768,4TH AVENUE
0.139,CAMPODONICA ROAD
0.0496,MONICA WAY
0.0493,GALLO STREET
0.0805,BRISTOL COURT
0.0753,V STREET
0.0236,PIRO DRIVE
0.1408,GLEN AVENUE
0.2349,EL CAPITAN WAY
0.0572,LUIS AVENUE
0.0626,R STREET
0.2575,THIRD AVENUE
0.0334,ELGIN AVENUE
0.0464,CAROL AVENUE
0.5096,UTAH STREET
0.0388,MEMORY COURT
0.0484,WAINWRIGHT AVENUE
0.1645,PACHECO DRIVE
1.0408,LANDRAM AVENUE
0.0383,SUNLIGHT AVENUE
0.0595,RANCHO GRANDE CIRCLE
0.1869,SUGARPLUM DRIVE
0.0835,GREENBRIAR WAY
0.5036,WEST HIGHWAY 152
0.4776,VASSAR AVENUE
0.0681,FIGUEROA DRIVE
1.0562,HIGHWAY 99
0.0491,BAXTER DRIVE
0.0378,LA VINA CIRCLE
0.1588,STRATFORD AVENUE
0.076,P STREET
0.0373,TOLUCA AVENUE
0.0482,ALDER WAY
0.0297,KINGSLAND AVENUE
0.0298,SUSSEX COURT
0.0474,OAK STREET
0.5045,SULTANA DRIVE
0.0531,MANSIONETTE DRIVE
0.042,REDWOOD DRIVE
0.2027,HIGHWAY 99
0.147,ELM AVENUE
0.89,EAST EL NIDO ROAD
0.1205,CAROL AVENUE
0.1347,EAST 19TH STREET
0.0389,R STREET
0.05,DRIFTWOOD DRIVE
0.1247,ELM AVENUE
0.0258,VENICE AVENUE
0.4986,HYDE STREET
0.1252,SYDNEY LANE
0.0759,FIFTH STREET
0.0619,CANYONLANDS COURT
0.0777,COVINGTON COURT
0.0902,WEST 25TH STREET
0.0412,RANCHWOOD DRIVE
0.0449,CANYON ROAD
0.0456,MARGARET COURT
0.0611,HIGHWAY 99
0.0554,CRYSTAL COURT
0.0756,GREEN STREET
0.0492,OAK STREET
0.1594,UNNAMED
0.0516,PEARWOOD COURT
0.2016,EAST B STREET
0.0412,ROB COURT
0.0517,CANAL DRIVE
0.0978,O STREET
0.0614,GREENFIELD DRIVE
0.895,WEST HIGHWAY 140
0.0196,WEST DONNA DRIVE
0.0758,MARTIN LUTHER KING JR WAY
0.0847,UNNAMED
0.0044,SOUTH KNIEBES ROAD
1.0592,CREEK ROAD
0.0605,EAST 19TH STREET
0.05,ESPLANADE DRIVE
0.0765,JEFFERSON STREET
0.057,CEDAR AVENUE
0.4993,FRUITLAND AVENUE
0.6819,BILLY WRIGHT ROAD
0.0397,RHIANON COURT
0.0497,PARK WARREN DRIVE
0.1664,VISTA GRANDE DRIVE
0.1949,CANAL FARM LANE
0.0405,BRENTWOOD COURT
0.0464,MEREDITH AVENUE
0.0725,CEDARWOOD COURT
0.5002,CANAL SCHOOL ROAD
0.5003,WASHINGTON BOULEVARD
0.101,INDUSTRY WAY
0.0748,I STREET
0.033,LA HABRA STREET
0.0505,NORTH MAIN STREET
0.0659,AIRDROME ENTRY GATE
0.1451,FAIRWAY DRIVE
0.0881,WALNUT AVENUE
0.4973,PLAINSBURG ROAD
0.0861,BRONCO LANE
0.0926,HEARST DRIVE
0.0814,WOODBURY COURT
0.039,LA VINA CIRCLE
0.4981,GRIFFITH AVENUE
0.209,ERRECA ROAD
0.3316,CORNER STREET
0.0489,BENICIA STREET
0.015,ALBERTA STREET
0.012,NORTH ARBOLEDA DRIVE
0.1877,NORTH MERCEY SPRINGS ROAD
0.9983,EAST EL NIDO ROAD
0.2114,BLOSSOM STREET
0.0535,WEST WALNUT AVENUE
0.0904,WEST 22ND STREET
0.0161,FREMONT STREET
0.0237,MANZANITA AVENUE
0.0803,CALIFORNIA AVENUE
0.0907,WEST 24TH STREET
0.0745,PAIGE LANE
0.1233,GOLDEN GATE AVENUE
0.0638,SCHENDEL ROAD
0.3122,SYCAMORE STREET
0.3476,HIGHWAY 99
0.1926,LONGVIEW AVENUE
0.0927,WEST MAIN STREET
2.3394,GUN CLUB ROAD
0.0606,CEDAR AVENUE
0.1251,PARK STREET
0.0759,T STREET
0.0422,FERNWOOD WAY
0.0329,PINEDA DRIVE
0.497,HULTBERG ROAD
0.0697,PARK PLACE COURT
0.0375,FRANKLIN ROAD
0.0585,LEXINGTON AVENUE
0.1549,WINTON COMMUNITY PARK
0.5004,WASHINGTON ROAD
0.085,VIRGINIA AVENUE
0.0128,HILLDALE AVENUE
0.0149,VILLAGE COURT
0.1343,DAN WARD ROAD
1.0547,ALMOND DRIVE
0.1316,SYCAMORE STREET
0.3633,CREEKVIEW DRIVE
0.0411,LA VINA CIRCLE
0.4863,AVENUE ONE
0.0325,KISHI DRIVE
0.0428,MARY LANE
0.09,CLEMSON COURT
0.048,DOCK AVENUE
0.1323,BRIDGEWATER STREET
0.2031,LEMON AVENUE
0.0473,GLENEAGLE STREET
0.1506,PIEDMONT DRIVE
0.0928,SONOMA COURT
1.0233,YOSEMITE AVENUE
0.058,RAILROAD AVENUE
0.0474,VICTORY COURT
0.0908,WEST 26TH STREET
0.0389,WILLMOTT AVENUE
0.0492,LILAC LANE
0.2281,PAGE AVENUE
0.1768,FLEMING ROAD
0.1267,WASHINGTON AVENUE
0.1346,CHALLENGER WAY
0.0708,CORDOVA AVENUE
0.0773,HAYS DRIVE
0.4999,OLIVE AVENUE
0.9986,SANTA RITA GRADE
0.1076,SAN LUIS OBISPO STREET
0.0509,EMMA STREET
0.0695,PEACH AVENUE
0.101,FLORETTE COURT
0.0522,LEXINGTON AVENUE
0.0227,VILLA CORDOBA
0.0901,MULBERRY AVENUE
0.0351,SANTA MARIA ROAD
0.1747,SCHENDEL AVENUE
0.0546,G STREET
0.1009,LEHIGH DRIVE
0.0522,FAWN COURT
0.1913,PEACH AVENUE
0.1241,SULLIVAN ROAD
0.0779,VOLTA ROAD
0.0329,AUCTION STREET
0.0699,SECOND STREET
0.1045,SYCAMORE STREET
0.09,ELKO STREET
0.0576,TRAVERTINE WAY
0.06,NORTH HIGHWAY 99
0.1717,BIXBY WAY
0.0544,COPPERTREE COURT
0.0532,KATY LANE
0.055,DANNY WAY
0.1567,SOUTH ELEVENTH STREET
0.0646,VALERIA STREET
0.0752,MARTIN LUTHER KING JR WAY
0.1733,WEST AVENUE
0.0496,VINE STREET
0.1566,JEFFREY DRIVE
0.2024,SOUTH HIGHWAY 99
0.1434,STEPHANIE DRIVE
0.0669,HIGHLAND DRIVE
0.1014,NORTHWOOD DRIVE
0.0949,DAYBREAK DRIVE
0.0828,CEDAR AVENUE
0.0385,3RD AVENUE
0.0655,MCDOWELL STREET
0.0527,WEST J STREET
0.0764,ORCHARD LANE
0.2426,AVE WEAVER AVENUE N
0.1644,DICKENSON FERRY ROAD
0.9631,KAHLON ROAD
0.0759,GLEN AVENUE
0.1547,PLACE RD S
0.0649,MEDITERRANEAN AVENUE
0.091,WEST 11TH STREET
0.0757,M STREET
0.3735,WEST HIGHWAY 152
0.0695,F STREET
0.4977,ARENA WAY
1.1603,DENTON & LEAK ROAD
0.0391,HART DRIVE
0.0716,JUNIPERO COURT
0.0598,SEQUOIA DRIVE
1.1124,HOLSTEIN ROAD
0.0631,PARSONS AVENUE
0.076,R STREET
0.0964,CONE AVENUE
0.0905,FRITZ DRIVE
0.0954,BARCLAY WAY
0.1759,FRUITLAND AVENUE
0.4757,EAST SANTA FE AVENUE
0.0301,GEORGE STREET
0.4956,NORTH BERT CRANE ROAD
0.1636,WINTON WAY
2.0401,BAXTER ROAD
0.0501,ALVISO DRIVE
0.0566,EAST MAIN STREET
0.6252,BRYANT AVENUE
0.2493,COLORADO AVENUE
0.4982,GOLF LINK ROAD
0.0662,FOXMEADOW COURT
0.0855,EAST OLD LAKE ROAD
0.0294,LIBERTY COURT
0.0269,CRAWFORD STREET
0.4556,HOSPITAL AVENUE
0.5139,DIANA ROAD
0.056,ROMA STREET
0.0867,OLIVE AVENUE
0.0447,KORBEL AVENUE
0.6741,HIGHWAY 99
0.1516,C STREET
0.1277,ALBERT DRIVE
0.105,AUPS COURT
0.4958,KNOWLES ROAD
0.094,RIVERSIDE COURT
0.4662,EAST AVENUE
0.4996,LANDER AVENUE
0.0457,EAST 20TH STREET
1.2465,MARIPOSA WAY
0.0412,TIMOTHY COURT
0.2914,FOURTH STREET
0.0805,PARCHY STREET
0.1735,FARMLAND AVENUE
0.0279,COUNTY PARK
0.4941,G STREET
0.0721,EAST 19TH STREET
0.8837,WEST HIGHWAY 152
0.2497,SUZIE STREET
0.0588,DOE COURT
0.0032,LIVINGSTON CRESSEY ROAD
0.1081,CASCADE DRIVE
0.0896,WEST 13TH STREET
0.5072,PLAINSBURG ROAD
0.342,FRONTIER STREET
0.0566,SOUTH AVENUE
0.106,DAYNA WAY
0.5226,WARD ROAD
0.2259,WEST NORTH BEAR CREEK DRIVE
0.0437,KELSEY COURT
0.2024,GOLDEN OAK LANE
0.1478,G ST OFF RAMP
0.05,TOTTENHAM AVENUE
1.5489,WEST SANDY MUSH ROAD
0.0585,INGOMAR GRADE
0.086,HOLLY AVENUE
0.0487,VIERRA DRIVE
0.075,SOLANO COURT
0.0481,SANTIAGO AVENUE
0.0449,JARDIN WAY
0.0745,LATHAM DRIVE
0.0345,BAXTER DRIVE
0.2229,GRIFFITH AVENUE
0.0338,MANZANITA AVENUE
0.025,MCKEE ROAD
4.2166,HIGHWAY 99
0.0956,ORION COURT
0.0428,SIXTH STREET
0.0185,N STREET
0.0495,G STREET
0.0477,MALIBU LANE
0.1046,WEST 24TH STREET
0.0333,WALNUT AVENUE
0.056,NORTH QUINLEY AVENUE
0.1681,BALBOA AVENUE
0.8354,OAKDALE ROAD
0.1282,EAST HIGHWAY 140
0.1084,CASCADE DRIVE
0.0256,EAST 15TH STREET
0.9812,AUGUST AVENUE
0.1385,DESTINY DRIVE
0.0809,KIWI COURT
0.0738,SCHOLARS LANE
0.0517,ROSE AVENUE
0.0492,GRACE AVENUE
0.0738,DYLAN COURT
0.1026,TRAVERTINE WAY
0.266,LAKE ROAD
0.0457,DEWBERRY COURT
0.0807,OVERLAND AVENUE
0.0627,SOUTH AVENUE
0.0388,O STREET
0.3013,WALNUT AVENUE
0.0301,EAST NORTH BEAR CREEK DRIVE
0.0517,WATERTOWN DRIVE
0.5002,FAITH HOME ROAD
0.0424,BLUFF DRIVE
0.0609,AIRFLIGHT DRIVE
0.0528,COTTONWOOD STREET
0.0328,FAIRMONT DRIVE
0.0553,FAIRLANE DRIVE
0.1485,MARRIOTT AVENUE
0.0211,G STREET
1.0045,GOVE ROAD
0.023,DRAKE COURT
0.0929,SARASOTA AVENUE
0.1241,SERANO STREET
0.0906,WEST 19TH STREET
0.0237,LA SALLE WAY
0.237,ORTIGALITA ROAD
0.1085,CAMINO AVENUE
0.0413,WILLMOTT AVENUE
0.0532,VACA CIRCLE
0.0338,MILLS DRIVE
0.0347,SOUTH S STREET
0.2898,FARMDALE AVENUE
0.0758,S STREET
0.1863,SWAN ROAD
0.0513,ST LAWRENCE DRIVE
0.3695,ELLIOTT AVENUE
0.0466,VIA MORAGA
1.0687,MCCABE ROAD
0.1036,AUTUMN DRIVE
0.0375,HAMMATT AVENUE
1.013,BORBA ROAD
0.0685,TEAK AVENUE
0.076,H STREET
0.0052,ATWATER BOULEVARD
0.1997,ANDREGG AVENUE
0.0492,OAK CREEK WAY
0.05,PLUIM DRIVE
0.1193,MONARCH AVENUE
0.0515,BROADWAY AVENUE
0.0496,EL RODEBAUGH WAY
0.1928,MEADOWS AVENUE
0.1338,RIGNALDA COURT
0.0706,DEXTER COURT
0.0836,SEVENTH STREET
0.0489,TRES LOGOS DRIVE
0.1029,LEA COURT
0.3397,HENRY MILLER AVENUE
0.0525,MADRONE STREET
0.0528,LAGOON AVENUE
0.1929,BUCKEYE LANE
0.0496,PEACOCK WAY
0.1338,MARKET STREET
0.9967,EAST AVENUE
0.0769,ADAMS STREET
